Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
129,"Given a queue with a linked list implementation. the Rear pointer points to the rear node of the queue. and the front node of the queue points to the front node of the queue, Which of the following operations is impossible to do in O(1) time?&nbsp;",Delete the front item from the list.,Delete the rear from the list.,insert at the front of the list.,None,B,"A Queue is defined as a linear data structure that is open at both ends and the operations are performed in First In First Out (FIFO) order.&nbsp;Linked listIt takes O(N) time to traverse the complete list in order to delete the node at the end, as its predecessor node must be changed to NULL.Hence (B) is the correct option.",Queue,Hard,High,0.25
130,"Following function is supposed to calculate the maximum depth or height of a Binary tree -- the number of nodes along the longest path from the root node down to the farthest leaf node.


        C
        
        int maxDepth(struct node* node)
{
   if (node==NULL)
       return 0;
   else
   {
       /* compute the depth of each subtree */
       int lDepth = maxDepth(node-&gt;left);
       int rDepth = maxDepth(node-&gt;right);
 
       /* use the larger one */
       if (lDepth &gt; rDepth)
           return X;
       else return Y;
   }
}

        
    

What should be the values of X and Y so that the function works correctly?","X  = lDepth, Y = rDepth","X  = lDepth + 1, Y = rDepth + 1","X  = lDepth - 1, Y = rDepth -1",None of the above,C,"If a tree is not empty, height of tree is 
MAX(Height of Left Subtree, Height of Right Subtree) + 1

See program to Find the Maximum Depth or Height of a Tree for more details.",Tree,Medium,High,0.25
131,"What is common in three different types of traversals (Inorder, Preorder and Postorder)?",Root is visited before right subtree,Left subtree is always visited before right subtree,Root is visited after left subtree,All of the above,C,"The order of inorder traversal is 
LEFT ROOT RIGHT

The order of preorder traversal is
ROOT LEFT RIGHT

The order of postorder traversal is
LEFT RIGHT ROOT


In all three traversals, LEFT is traversed before RIGHT",Tree,Easy,Low,0.25
132,"The inorder and preorder traversal of a binary tree are d b e a f c g and a b d e c f g, respectively. The postorder traversal of the binary tree is:",d e b f g c a,e d b g f c a,e d b f g c a,d e f g b c a,B,"Below is the given tree.
                              a
                           /    \\
                        /          \\
                      b             c
                   /   \\          /   \\
                 /       \\      /       \\
               d         e    f          g",Tree,Hard,High,0.25
133,"What does the following function do for a given binary tree?


        C
        
        int fun(struct node *root)
{
   if (root == NULL)
      return 0;
   if (root-&gt;left == NULL &amp;&amp; root-&gt;right == NULL)
      return 0;
   return 1 + fun(root-&gt;left) + fun(root-&gt;right);
}",Counts leaf nodes,Counts internal nodes,Returns height where height is defined as number of edges on the path from root to deepest node,Return diameter where diameter is number of edges on the longest path between any two nodes.,C,"The function counts internal nodes.
1) If root is NULL or a leaf node, it returns 0.
2) Otherwise returns, 1 plus count of internal nodes in left subtree, plus count of internal nodes in right subtree.

See the following complete program.

        C
        
        #include &lt;stdio.h&gt;

struct node
{
  int key;
  struct node *left, *right;
};

int fun(struct node *root)
{
   if (root == NULL)
      return 0;
   if (root-&gt;left == NULL &amp;&amp; root-&gt;right == NULL)
      return 0;
   return 1 + fun(root-&gt;left) + fun(root-&gt;right);
}

/* Helper function that allocates a new node with the
   given key and NULL left and right pointers. */
struct node* newNode(int key)
{
  struct node* node = (struct node*)
                       malloc(sizeof(struct node));
  node-&gt;key = key;
  node-&gt;left = NULL;
  node-&gt;right = NULL;

  return(node);
}

/* Driver program to test above functions*/
int main()
{

  /* Constructed binary tree is
            1
          /   \\
        2      3
      /  \\    /
    4     5  8
  */
  struct node *root = newNode(1);
  root-&gt;left        = newNode(2);
  root-&gt;right       = newNode(3);
  root-&gt;left-&gt;left  = newNode(4);
  root-&gt;left-&gt;right = newNode(5);
  root-&gt;right-&gt;left = newNode(8);

  printf(&quot;%d&quot;, fun(root));

  getchar();
  return 0;
}",Tree,Medium,High,0.25
134,Which of the following pairs of traversals is not sufficient to build a binary tree from the given traversals?,Preorder and Inorder,Preorder and Postorder,Inorder and Postorder,None of the Above,C,See  http://www.geeksforgeeks.org/if-you-are-given-two-traversal-sequences-can-you-construct-the-binary-tree/ for details.,Tree,Medium,High,0.25
135,Consider two binary operators '[Tex]\uparrow[/Tex] ' and '[Tex]\downarrow[/Tex]' with the precedence of operator [Tex]\downarrow[/Tex] being lower than that of the [Tex]\uparrow[/Tex] operator. Operator [Tex]\uparrow[/Tex] is right associative while operator [Tex]\downarrow[/Tex] is left associative. Which one of the following represents the parse tree for expression (7 [Tex]\downarrow[/Tex] 3 ­[Tex]\uparrow[/Tex] 4 ­[Tex]\uparrow[/Tex] 3 [Tex]\downarrow[/Tex] 2)? (GATE CS 2011),A,B,C,D,B,"Let us consider the given expression ([Tex]7 \downarrow 3 \uparrow 4 \uparrow 3 \downarrow 2[/Tex]).  Since the precedence of [Tex]\uparrow[/Tex] is higher, the sub-expression ([Tex]3 \uparrow 4 \uparrow 3[/Tex]) will be evaluated first. In this sub-expression, [Tex]4 \uparrow 3[/Tex] would be evaluated first because [Tex]\uparrow[/Tex] is right to left associative. So the expression is evaluated as [Tex]((7 \downarrow (3 \uparrow (4 \uparrow 3))) \downarrow 2)[/Tex]. Also, note that among the two [Tex]\downarrow [/Tex] operators, first one is evaluated before the second one because the associativity of [Tex]\downarrow[/Tex] is left to right.",Tree,Hard,High,0.25
136,Which traversal of tree resembles the breadth first search of the graph?,Preorder,Inorder,Postorder,Level order,E,Breadth first search visits all the neighbors first and then deepens into each neighbor one by one. The level order traversal of the tree also visits nodes on the current level and then goes to the next level.,Tree,Easy,Low,0.25
137,Which of the following tree traversal uses a queue data structure?,Preorder,Inorder,Postorder,Level order,E,Level order traversal uses a queue data structure to visit the nodes level by level.,Tree,Easy,Low,0.25
138,Which of the following cannot generate the full binary tree?,Inorder and Preorder,Inorder and Postorder,Preorder and Postorder,None of the above,E,"To generate a binary tree, two traversals are necessary and one of them must be inorder. But, a full binary tree can be generated from preorder and postorder traversals. Read the algorithm here.
Read Can tree be constructed from given traversals?",Tree,Medium,High,0.25
139,"Consider the following C program segment


        c
        
        struct CellNode
{
  struct CelINode *leftchild;
  int element;
  struct CelINode *rightChild;
}

int Dosomething(struct CelINode *ptr)
{
    int value = 0;
    if (ptr != NULL)
    {
      if (ptr-&gt;leftChild != NULL)
        value = 1 + DoSomething(ptr-&gt;leftChild);
      if (ptr-&gt;rightChild != NULL)
        value = max(value, 1 + DoSomething(ptr-&gt;rightChild));
    }
    return (value);
}

        
    

The value returned by the function DoSomething when a pointer to the root of a non-empty tree is passed as argument is  (GATE CS 2004)",The number of leaf nodes in the tree,The number of nodes in the tree,The number of internal nodes in the tree,The height of the tree,E,"Explanation: DoSomething() returns max(height of left child + 1, height of right child + 1).  So given that pointer to root of tree is passed to DoSomething(), it will return height of the tree. Note that this implementation follows the convention where height of a single node is 0.",Tree,Hard,High,0.25
140,"Let LASTPOST, LASTIN and LASTPRE denote the last vertex visited in a postorder, inorder and preorder traversal. Respectively, of a complete binary tree. Which of the following is always true? (GATE CS 2000)",LASTIN = LASTPOST,LASTIN = LASTPRE,LASTPRE = LASTPOST,None of the above,E,"It is given that the given tree is complete binary tree. For a complete binary tree, the last visited node will always be same for inorder and preorder traversal.  None of the above is true even for a complete binary tree. The option (a) is incorrect because the last node visited in Inorder traversal is right child and last node visited in Postorder traversal is root.The option (c) is incorrect because the last node visited in Preorder traversal is right child and last node visited in Postorder traversal is root.For option (b), see the following counter example. Thanks to Hunaif Muhammed for providing the correct explanation.
     1
   /    \\
  2      3
 / \\    /
4   5  6  

Inorder traversal is 4 2 5 1 6 3
Preorder traversal is 1 2 4 5 3 6",Tree,Hard,High,0.25
141,The array representation of a complete binary tree contains the data in sorted order. Which traversal of the tree will produce the data in sorted form?,Preorder,Inorder,Postorder,Level order,E,The level order traversal of a binary tree prints the data in the same order as it is stored in the array representation of a complete binary tree.,Tree,Easy,Low,0.25
142,"Consider the following rooted tree with the vertex P labeled as root



The order in which the nodes are visited during in-order traversal is",SQPTRWUV,SQPTURWV,SQPTWUVR,SQPTRUWV,B,"Algorithm Inorder(tree) - Use of Recursion
Steps:
1. Traverse the left subtree, 
   i.e., call Inorder(left-subtree)
2. Visit the root.
3. Traverse the right subtree, 
   i.e., call Inorder(right-subtree)

Understanding this algorithm requires the basic 
understanding of Recursion

Therefore, We begin in the above tree with root as
the starting point, which is P.

# Step 1( for node P) :
Traverse the left subtree of node or root P.
So we have node Q on left of P.

-> Step 1( for node Q)
Traverse the left subtree of node Q.
So we have node S on left of Q.

* Step 1 (for node S)
Now again traverse the left subtree of node S which is 
NULL here.

* Step 2(for node S)
Visit the node S, i.e print node S as the 1st element of 
inorder traversal.

* Step 3(for node S)
Traverse the right subtree of node S.
Which is NULL here.

Now move up in the tree to Q which is parent
of S.( Recursion, function of Q called for function of S).
Hence we go back to Q.

-> Step 2( for node Q):
Visit the node Q, i.e print node Q as the 2nd
element of inorder traversal.

-> Step 3 (for node Q)
Traverse the right subtree of node Q.
Which is NULL here.

Now move up in the tree to P which is parent
of Q.( Recursion, function of P called for function of Q).
Hence we go back to P.

# Step 2(for node P)
Visit the node P, i.e print node S as the 3rd
element of inorder traversal.

# Step 3 (for node P)
Traverse the right subtree of node P.
Node R is at the right of P.

Till now we have printed SQP as the inorder of the tree. 
Similarly other elements can be obtained by traversing 
the right subtree of P.

The final correct order of Inorder traversal would 
be SQPTRWUV.",Tree,Medium,High,0.25
143,"Consider the pseudocode given below. The function DoSomething() takes as argument a pointer to the root of an arbitrary tree represented by the leftMostChild-rightSibling representation.
Each node of the tree is of type treeNode.


        C
        
        typedef struct treeNode* treeptr;
struct treeNode
{
    treeptr leftMostChild, rightSibling;
};
int DoSomething (treeptr tree)
{
    int value=0;
    if (tree != NULL)
    {
        if (tree-&gt;leftMostChild == NULL)
            value = 1;
        else
            value = DoSomething(tree-&gt;leftMostChild);
        value = value + DoSomething(tree-&gt;rightSibling);
    }
    return(value);
}

        
    

When the pointer to the root of a tree is passed as the argument to DoSomething, the value returned by the function corresponds to the",number of internal nodes in the tree.,height of the tree.,number of nodes without a right sibling in the tree.,number of leaf nodes in the tree.,E,"The function counts leaf nodes for a tree represented using leftMostChild-rightSibling representation.

Below is function with comments added to demonstrate how function works.


        C
        
        int DoSomething (treeptr tree)
{
    // If tree is empty, 0 is returned
    int value = 0;

    // IF tree is not empty
    if (tree != NULL)
    {
        // IF this is a leaf node, then values is initialized as 1
        if (tree-&gt;leftMostChild == NULL)
            value = 1;

        // Else value is initialized as the value returned by leftmost
        // child which in turn calls for the other children of this node
        // Using last call &quot;value = value + DoSomething(tree-&gt;rightSibling);&quot;
        else
            value = DoSomething(tree-&gt;leftMostChild);

        // Add value returned by right sibling
        value = value + DoSomething(tree-&gt;rightSibling);
    }
    return(value);
}",Tree,Hard,High,0.25
144,Level order traversal of a rooted tree can be done by starting from the root and performing,preorder traversal,inorder traversal,depth first search,breadth first search,D,"Level order traversal of a rooted tree, also known as breadth-first traversal, can be done by starting from the root and visiting each level of the tree from left to right. Here's how it can be performed:1. Enqueue the root node into a queue.2. While the queue is not empty, repeat steps 3-5:   3. Dequeue a node from the front of the queue and visit it.   4. Enqueue all the children (if any) of the dequeued node from left to right.   5. Repeat until all nodes at the current level are visited.6. Continue until all levels of the tree are traversed.Here's a pseudocode representation of the algorithm:```levelOrderTraversal(root):    if root is NULL:        return    create an empty queue    enqueue root into the queue    while queue is not empty:        current = dequeue from the front of the queue        visit current node        for each child of current (if any):            enqueue child into the queue```This algorithm ensures that nodes at each level of the tree are visited before proceeding to the next level. It effectively traverses the tree in a breadth-first manner, starting from the root.",Tree,Easy,Low,0.25
145,"Consider the label sequences obtained by the following pairs of traversals on a labeled binary tree. Which of these pairs identify a tree uniquely ? 
(i)     preorder and postorder
(ii)    inorder and postorder
(iii)   preorder and inorder
(iv)   level order and postorder",(i) only,"(ii), (iii)",(iii) only,(iv) only,C,"Here, we consider each and every option to check whether it is true or false.

1) Preorder and postorder


For the above trees,

Preorder is AB

Postorder is BA

It shows that preorder and postorder can’t identify a tree uniquely.

2) Inorder and postorder define a tree uniquely

3) Preorder and Inorder also define a tree uniquely

4) Levelorder and postorder can’t define a tree uniquely. For the above example,

Level order is AB

Postorder is BA

See http://www.geeksforgeeks.org/if-you-are-given-two-traversal-sequences-can-you-construct-the-binary-tree/ for details


This solution is contributed by Anil Saikrishna Devarasetty",Tree,Hard,High,0.25
146,"Let LASTPOST, LASTIN and LASTPRE denote the last vertex visited in a postorder, inorder and preorder traversal, respectively, of a complete binary tree. Which of the following is always true?",LASTIN = LASTPOST,LASTIN = LASTPRE,LASTPRE = LASTPOST,None of the above,E,See question 1 of http://www.geeksforgeeks.org/data-structures-and-algorithms-set-1/,Tree,Hard,High,0.25
147,"Which one of the following binary trees has its inorder and preorder traversals as BCAD  and ABCD, respectively?",A,B,C,D,E,"Inorder Traversal: Left -Root -RightPreOrder Traversal: Root-Left-Right
    InOrder  PreOrder

A.   BADC   ABCD

B.   BCAD   ACBD

C.   ACBD   ABCD
D.    BCAD  ABCDTherefore, D is Correct",Tree,Hard,High,0.25
148,"The numbers 1, 2, .... n are inserted in a binary search tree in some order. In the resulting tree, the right subtree of the root contains p nodes. The first number to be inserted in the tree must be",p,p + 1,n - p,n - p + 1,D,"Binary Search Tree, is a node-based binary tree data structure which has the following properties:

	The left subtree of a node contains only nodes with keys less than the node’s key.
	The right subtree of a node contains only nodes with keys greater than the node’s key.
	The left and right subtree each must also be a binary search tree.
There must be no duplicate nodes.


So let us say n=10, p=4. According to BST property the root must be 10-4=6 (considering all unique elements in BST)
And according to BST insertion, root is the first element to be inserted in a BST.

Therefore, the answer is (n-p).
&nbsp;",Tree,Hard,High,0.25
149,"A binary search tree contains the numbers 1, 2, 3, 4, 5, 6, 7, 8. When the tree is traversed in pre-order and the values in each node printed out, the sequence of values obtained is 5, 3, 1, 2, 4, 6, 8, 7. If the tree is traversed in post-order, the sequence obtained would be

&nbsp;","8, 7, 6, 5, 4, 3, 2, 1","1, 2, 3, 4, 8, 7, 6, 5","2, 1, 4, 3, 6, 7, 8, 5","2, 1, 4, 3, 7, 8, 6, 5",E,"Please see this link for more details

http://www.geeksforgeeks.org/construct-tree-from-given-inorder-and-preorder-traversal/",Tree,Hard,High,0.25
150,"Consider the following sequence of nodes for the undirected graph given below.

a b e f d g c
a b e f c g d
a d g e b c f
a d b c g e f
A Depth First Search (DFS) is started at node a. The nodes are listed in the order they are first visited. Which all of the above is (are) possible output(s)?",1 and 3 only,2 and 3 only,"2, 3 and 4 only","1, 2, and 3",C,"1: abef->c or g should be covered
4: adbc->e or f should be covered 
2: abefcgd  correct
3: adgebcf correct",Tree,Hard,High,0.25
151,Which of the following statement is false?,A tree with n nodes has (n-1) edges.,A labeled rooted binary tree can be uniquely constructed given its postorder and preorder traversal results.,A complete binary tree with n internal nodes has (n+1) leaves.,The maximum number of nodes in a binary tree of height h is (2^(h+1)  -1).,C,"Both option (A) and (D) are correct. But option (B) is false because ""a labeled rooted binary tree can not be uniquely constructed given using its postorder and preorder traversal results"". It need inorder and preorder/postorder for uniquely constructed binary tree.

Option (C) is also false, take counter example in given tree :


Therefore, both option (B) and (C) are false.",Tree,Medium,Medium,0.25
152,"A complete n-ary tree is one in which every node has 0 or n sons. If x is the number of internal nodes of a complete n-ary tree, the number of leaves in it is given by",x(n-1)+1,xn-1,xn+1,x(n+1),B,,Tree,Hard,High,0.25
153,"Which of the following sequences denotes the post order traversal sequence of the given tree?
         a
       /   \\
      b     e
     / \\   /
    c  d  f
   /
  g",f e g c d b a,g c b d a f e,g c d b f e a,f e d g c b a,D,,Tree,Medium,Medium,0.25
154,Which of following option is not correct regarding depth first searching?,"In a depth-first traversal of a graph G with V vertices, E edges are marked as tree edges. The number of connected components in G is (E - V).",Depth-first search requires O(V^2) time if implemented with an adjacency matrix.,Depth-first search requires O(V + E) time if implemented with adjacency lists,None of these,B,"In a depth-first traversal of a graph G with V vertices, E edges are marked as tree edges. The number of connected components in G is (V - E).
Only option (A) is false.",Tree,Hard,High,0.25
155,"The post-order traversal of a binary search tree is given by 2, 7, 6, 10, 9, 8, 15, 17, 20, 19, 16, 12.
Then the pre-order traversal of this tree is:","2, 6, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20","7, 6, 2, 10, 9, 8, 15, 16, 17, 20, 19, 12","7, 2, 6, 8, 9, 10, 20, 17, 19, 15, 16, 12","12, 8, 6, 2, 7, 9, 10, 16, 15, 19, 17, 20",E,"Since given tree is binary tree, so inorder traversal will be always sorted order, i.e., 2, 6, 7, 8, 9, 10, 12, 15, 16, 17, 19, 20. 
Now we can draw that binary search tree using given postorder and inorder traversal. Final tree will be:



Therefore, preorder traversal will be : 12, 8, 6, 2, 7, 9, 10, 16, 15, 19, 17, 20. 

Option (D) is correct.",Tree,Hard,High,0.25
156,"Let G be a simple undirected graph. Let TD be a depth first search tree of G. Let TB be a breadth first search tree of G. Consider the following statements. (I) No edge of G is a cross edge with respect to TD. (A cross edge in G is between two nodes neither of which is an ancestor of the other in TD). (II) For every edge (u, v) of G, if u is at depth i and v is at depth j in TB, then ∣i − j∣ = 1. Which of the statements above must necessarily be true?",I only,II only,Both I and II,Neither I nor II,A,"There are four types of edges can yield in DFS. These are tree, forward, back, and cross edges. In undirected connected graph, forward and back edges are the same thing. A cross edge in a graph is an edge that goes from a vertex v to another vertex u such that u is neither an ancestor nor descendant of v. Therefore, cross edge is not possible in undirected graph. So, statement (I) is correct. For statement (II) take counterexample of complete graph of three vertices, i.e., K3 with XYZ, where X is source and Y and Z are in same level. Also,there is an edge between vertices Y and Z, i.e., |i-j| = 0 ≠ 1 in BFS. So, statement became false. Option (A) is correct.",Tree,Medium,High,0.25
157,"Suppose the numbers 7, 5, 1, 8, 3, 6, 0, 9, 4, 2 are inserted in that order into an initially empty binary search tree. The binary search tree uses the reversal ordering on natural numbers i.e. 9 is assumed to be smallest and 0 is assumed to be largest. The in-order traversal of the resultant binary search tree is","9, 8, 6, 4, 2, 3, 0, 1, 5, 7","0, 1, 2, 3, 4, 5, 6, 7, 8, 9","0, 2, 4, 3, 1, 6, 5, 9, 8, 7","9, 8, 7, 6, 5, 4, 3, 2, 1, 0",E,"Inorder traversal of a binary search tree always produces the keys in increasing order. In this question Reverse ordering of natural numbers are used i.e. 9 is assumed to be the smallest and 0 to be the largest. So the sequence in increasing order will be 9, 8, 7, 6, 5, 4, 3, 2, 1, 0.
So, option (D) is correct.",Tree,Hard,High,0.25
158,The in-order and pre-order traversal of a binary tree are d b e a f c g and a b d e c f g respectively. The post order traversal of a binary tree is,e d b g f c a,e d b f g c a,d e b f g c a,d e f g b c a,D,"Refer:  GATE-CS-2007 | Question 39 

Option (C) is correct.",Tree,Hard,High,0.25
159,"Consider the following tree



If the post order traversal gives ab-cd*+ then the label of the nodes 1,2,3,… will be","+,-,*,a,b,c,d","a,-,b,+,c,*,d","a,b,c,d,-,*,+","-,a,b,+,*,c,d",B,"Postorder traversal of the given binary tree will give the following sequence: 4 5 2 6 7 3 1.
Now comparing the sequence with a b - c d * + we get 1 = +, 2 = -, 3 = *, 4 = a, 5 = b, 6 = c and 7 = d.
So, option (A) is correct.",Tree,Hard,High,0.25
160,"Choose the equivalent prefix form of the following expression
(a + (b − c))* ((d − e)/(f + g − h))",* +a − bc /− de − +fgh,* +a −bc − /de − +fgh,* +a − bc /− ed + −fgh,* +ab − c /− ed + −fgh,B,"We can write the prefix form of the expression as:
(a + (b − c))* ((d − e) / (f + g − h))
= (a + (- b c)) * ((- d e) / ( + f g - h))
= (+ a - b c) * ((- d e) / (- + f g h)
= (+ a - b c) * (/ - d e - + f g h)
= * + a - b c / - d e - + f g h",Tree,Hard,High,0.25
161,"The number of rotations required to insert a sequence of elements 9,6,5,8,7,10 into an empty AVL tree is?",0,1,2,3,E,"The insertion and rotation of the various elements are shown in the following figure:

 

So, the total number of rotations are 3.",Tree,Medium,Medium,0.25
162,"Consider the following statements: 
(a) Depth - first search is used to traverse a rooted tree. 
(b) Pre - order, Post-order and Inorder are used to list the vertices of an ordered rooted tree. 
(c) Huffman’s algorithm is used to find an optimal binary tree with given weights. 
(d) Topological sorting provides a labelling such that the parents have larger labels than their children. 
Which of the above statements are true?",(a) and (b),(c) and (d),"(a), (b) and (c)","(a), (b), (c) and (d)",E,"Depth - first search is used to traverse a rooted tree. Correct Pre - order, Post-order and Inorder are used to list the vertices of an ordered rooted tree. CorrectHuffman’s algorithm is used to find an optimal binary tree with given weights. CorrectTopological sorting provides a labelling such that the parents have larger labels than their children.Correct
So, option (D) is correct.",Tree,Hard,High,0.25
163,The inorder and preorder Traversal of binary Tree are dbeafcg and abdecfg respectively. The post-order Traversal is __________.,dbefacg,debfagc,dbefcga,debfgca,E,"Inorder and preorder Traversal of binary Tree are dbeafcg and abdecfg respectively. 
From preorder(Parent left right) and inorder ( left parent right) we can easily find post order. 
From preorder(a(bdecfg)), it is clear that a is parent node(root node), Now we will look for left subttree in inorder traversal i.e. dbe and fcg.
To find root node and left subtree and right subtree of these subtree we will do the same process as above:
Now see this scenario in graph:

Now from above tree we can easily find out the post order(left right parent):
i.e. debfgca.
So, option (D) is correct.",Tree,Easy,Low,0.25
164,Level order Traversal of a rooted Tree can be done by starting from root and performing:,Breadth First Search,Depth First Search,Root Search,Deep Search,B,"Level order Traversal of a rooted Tree can be done by starting from root and performing Breadth First Search.
For more information on Level order Traversal Refer:Level Order Tree Traversal
Option (A) is correct.",Tree,Hard,High,0.25
165,The in-order traversal of a tree resulted in FBGADCE. Then the pre-order traversal of that tree would result in,FGBDECA,ABFGCDE,BFGCDEA,AFGBDEC,C,"The Inorder traversal of the tree can be seen as:



So, the preorder traversal of the following tree is ABFGCDE.

Option (B) is correct.",Tree,Medium,High,0.25
166,"Suppose the numbers 7, 5, 1, 8, 3, 6, 0, 9, 4, 2 are inserted in that order into an initially empty binary search tree. The binary search tree uses the usual ordering on natural numbers. What is the inorder traversal sequence of the resultant tree?",7 5 1 0 3 2 4 6 8 9,0 2 4 3 1 6 5 9 8 7,0 1 2 3 4 5 6 7 8 9,9 8 6 4 2 3 0 1 5 7,D,"The numbers 7, 5, 1, 8, 3, 6, 0, 9, 4, 2 are inserted in that order into an initially empty binary search tree with the usual ordering on natural numbers. The inorder sequence of such a binary search tree always yields to the numbers arranged in ascending order. 
So, option (C) is correct.",Tree,Hard,High,0.25
167,"Assume that the operators +, −, × are left associative and ^ is right associative. The order of precedence (from highest to lowest) is ^, ×, +, −. The postfix expression corresponding to the infix expression is
a + b × c − d ^ e ^ f",abc x  + def ^ ^ −,abc x + de ^ f ^ −,ab + c × d − e^f^,− + a × b c^^ def,B,"The postfix expression:
a + b × c − ( d ^( e ^ f))
a + b × c − ( d ^( e f ^ ))
a + b × c − ( d e f ^ ^)
(a + (b × c)) − d  e f ^ ^
(a + (b c x)) − d  e f ^ ^
(a (b c x) +) − d  e f ^ ^
(a b c x +) - (d e f ^ ^)
(a b c x +) - (d e f ^ ^)
a b c x + d e f ^ ^ -

So, option (A) is correct.",Tree,Hard,High,0.25
168,"If Tree-1 and Tree-2 are the trees indicated below :  Which traversals of Tree-1 and Tree-2, respectively, will produce the same sequence?","Preorder, postorder","Postorder, inorder","Postorder, preorder","Inorder, preorder",C,"Postorder, Inorder will be correct answer here.",Tree,Medium,Medium,0.25
169,"If all the edge weights of an undirected graph are positive, then any subset of edges that connects all the vertices and has minimum total weight is a

&nbsp;",Hamiltonian cycle,grid,hypercube,tree,E,"&nbsp;

As here we want subset of edges that connects all the vertices and has minimum total weight i.e. Minimum Spanning Tree
Option A - includes cycle, so may or may not connect all edges.
Option B - has no relevance to this question.
Option C - includes cycle, so may or may not connect all edges.

Related:
http://www.geeksforgeeks.org/greedy-algorithms-set-2-kruskals-minimum-spanning-tree-mst/
http://www.geeksforgeeks.org/greedy-algorithms-set-5-prims-minimum-spanning-tree-mst-2/

This solution is contributed by Mohit Gupta.

&nbsp;",Tree,Hard,High,0.25
170,"The following three are known to be the preorder, inorder and postorder sequences of a binary tree. But it is not known which is which.
MBCAFHPYK
KAMCBYPFH
MABCKYFPH
Pick the true statement from the following.","I and II are preorder and inorder sequences, respectively","I and III are preorder and postorder sequences, respectively","II is the inorder sequence, but nothing more can be said about the other two sequences","II and III are the preorder and inorder sequences, respectively",E,"The approach to solve this question is to first find 2 sequences whose first and last element is same. The reason being first element in the Pre-order of any binary tree is the root and last element in the Post-order of any binary tree is the root.
Looking at the sequences given, 
Pre-order   =   KAMCBYPFH
Post-order  =  MBCAFHPYK
Left-over sequence  MABCKYFPH will be in order.
Since we have all the traversals identified, let's try to draw the binary tree if possible.



I. Post order
II. Pre order
III. Inorder


This solution is contributed by Pranjul Ahuja.",Tree,Hard,High,0.25
171,"When searching for the key value 60 in a binary search tree, nodes containing the key values 10, 20, 40, 50, 70 80, 90 are traversed, not necessarily in the order given. How many different orders are possible in which these key values can occur on the search path from the root to the node containing the value 60?",35,64,128,5040,B,"There are two set of values, smaller than 60 and greater than 60. Smaller values 10, 20, 40 and 50 are visited, means they are visited in order. Similarly, 90, 80 and 70 are visited in order. 
= 7!/(4!3!)
= 35",Tree,Medium,Medium,0.25
172,Which of the following is true about Binary Trees?,Every binary tree is either complete or full.,Every complete binary tree is also a full binary tree.,Every full binary tree is also a complete binary tree.,No binary tree is both complete and full.,F,"A full binary tree (sometimes proper binary tree or 2-tree or strictly binary tree) is a tree in which every node other than the leaves has two children. A complete binary tree is a binary tree in which every level, except possibly the last, is completely filled, and all nodes are as far left as possible. A) is incorrect. For example, the following Binary tree is neither complete nor full     12
   /  
  20
 /
30
B) is incorrect. The following binary tree is complete but not full     12
   /   \\
  20    30
 /
30
C) is incorrect. Following Binary tree is full, but not complete     12
   /   \\
  20    30
       /  \\  
      20   40
D) is incorrect. Following Binary tree is both complete and full      12
    /   \\
   20    30
  /  \\  
 10   40",Tree,Medium,Medium,0.25
173,"If arity of operators is fixed, then which of the following notations can be used to parse expressions without parentheses? a) Infix Notation (Inorder traversal of a expression tree) b) Postfix Notation (Postorder traversal of a expression tree) c) Prefix Notation (Preorder traversal of a expression tree)",b and c,Only b,"a, b and c",None of them,B,Preorder and Postorder notations are used to parse expressions without parentheses.,Tree,Medium,Medium,0.25
174,"What are the main applications of tree data structure?Manipulate hierarchical data&nbsp;Make information easy to search &nbsp;Manipulate sorted lists of data&nbsp;Router algorithms&nbsp;Form of a multi-stage decision-making, like Chess Game.&nbsp;As a workflow for compositing digital images for visual effects","1, 2, 3, 4 and 6","1, 2, 3, 4 and 5","1, 3, 4, 5 and 6","1, 2, 3, 4, 5 and 6",E,Tree data structure is used to study or tabulate hierarchical data. Searching of data becomes easy using the tree traversals. Using BST we can easily analyze sorted data. Decision making to reach an objective becomes easy due to decision tree creation. Trees are used in router algorithms. They can be beneficial as a workflow for compositing digital images for visual effects.,Tree,Medium,Medium,0.25
175,"Level of a node is distance from root to that node. For example, level of root is 1 and levels of left and right children of root is 2. The maximum number of nodes on level i of a binary tree is 

In the following answers, the operator '^' indicates power.",2^(i-1),2^i,2^(i+1),2^[(i+1)/2],B,"Number of nodes of binary tree will be maximum only when tree is full complete, therefore answer is 2^(i)-1
So, option (A) is true.",Tree,Hard,High,0.25
176,"In a complete k-ary tree, every internal node has exactly k children or no child. The number of leaves in such a tree with n internal nodes is:",nk,(n – 1) k+ 1,n( k – 1) + 1,n(k – 1),D,"For an k-ary tree where each node has k children or no children, following relation holdsL = (k-1)*n + 1Where L is the number of leaf nodes and n is the number of internal nodes.Let us see following for example 
             o
        /    |    \\
      o      o      o
   / | \\          / | \\
  o  o  o        o  o  o
                  / | \\
                 o  o  o

k = 3
Number of internal nodes n = 4
Number of leaf nodes = (k-1)*n  + 1
                     = (3-1)*4 + 1
                     = 9",Tree,Medium,Medium,0.25
